bad_token,filename
คนช,district_mae_tha__10_subdistrict_tha_khum_ngoen__polling_unit_1__party_list_vote_page_2.md
คนชัย,district_mueang_lamphun__04_subdistrict_rim_ping__polling_unit_7__party_list_vote_page_2.md
คนดี,district_mueang_lamphun__04_subdistrict_rim_ping__polling_unit_7__party_list_vote_page_2.md
คนถนน,district_mae_tha__10_subdistrict_tha_khum_ngoen__polling_unit_12__party_list_vote_page_1.md
คนธ,district_ban_thi__01_subdistrict_ban_thi__polling_unit_4__party_list_vote_page_3.md
คนธ์,district_mueang_lamphun__03_subdistrict_makhuea_chae__polling_unit_11__party_list_vote_page_2.md
คนน,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_7__party_list_vote_page_2.md
คนนึ่ง,district_mueang_lamphun__15_office_ban_paen__polling_unit_2__party_list_vote_page_3.md
คนป,district_mae_tha__10_subdistrict_tha_khum_ngoen__polling_unit_1__party_list_vote_page_2.md
คนปก,district_mueang_lamphun__09_subdistrict_si_bua_ban__polling_unit_3__party_list_vote_page_2.md
คนปธ,district_mueang_lamphun__12_subdistrict_umong__polling_unit_8__party_list_vote_page_3.md
คนปี,district_mueang_lamphun__15_office_ban_paen__polling_unit_2__party_list_vote_page_3.md
คนป่า,district_mueang_lamphun__04_subdistrict_rim_ping__polling_unit_7__party_list_vote_page_2.md
คนป่าตาทน,district_mueang_lamphun__01_subdistrict_ton_thong__polling_unit_4__party_list_vote_page_3.md
คนผิดกำหนด,district_mueang_lamphun__03_subdistrict_makhuea_chae__polling_unit_15__party_list_vote_page_2.md
คนฝ,district_mueang_lamphun__13_municipality_mueang_lamphun__polling_unit_6__party_list_vote_page_2.md
คนมี,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_1__party_list_vote_page_2.md
คนย,district_mae_tha__04_subdistrict_tha_pla_duk__polling_unit_16__party_list_vote_page_2.md
คนยิ่ง,district_mueang_lamphun__04_subdistrict_rim_ping__polling_unit_7__party_list_vote_page_2.md
คนย์,district_ban_thi__01_subdistrict_ban_thi__polling_unit_5__party_list_vote_page_2.md
คนร,district_mueang_lamphun__15_office_ban_paen__polling_unit_1__party_list_vote_page_2.md
คนรุ่ง,district_mueang_lamphun__02_subdistrict_ban_klang__polling_unit_11__party_list_vote_page_2.md
คนร่วมกัน,district_mueang_lamphun__07_subdistrict_mueang_chi__polling_unit_7__party_list_vote_page_3.md
คนร้าย,district_mueang_lamphun__05_subdistrict_wiang_yong__polling_unit_2__party_list_vote_page_1.md
คนว,district_mae_tha__10_subdistrict_tha_khum_ngoen__polling_unit_1__party_list_vote_page_2.md
คนวิ,district_mueang_lamphun__09_subdistrict_si_bua_ban__polling_unit_3__party_list_vote_page_2.md
คนว่า,district_mueang_lamphun__16_subdistrict_mueang_nga__polling_unit_8__party_list_vote_page_2.md
คนส่ง,district_ban_thi__02_subdistrict_huai_yap__polling_unit_13__party_list_vote_page_2.md
คนึง,district_mueang_lamphun__02_subdistrict_ban_klang__polling_unit_11__party_list_vote_page_2.md
คนแน่น,district_mae_tha__10_subdistrict_tha_khum_ngoen__polling_unit_12__party_list_vote_page_2.md
คฝ,district_mueang_lamphun__13_municipality_mueang_lamphun__polling_unit_9__party_list_vote_page_3.md
ครึ่ง,district_mueang_lamphun__01_subdistrict_ton_thong__polling_unit_9__party_list_vote_page_3.md
ครึ่งรอบปีสมัยใหม่,district_ban_thi__01_subdistrict_ban_thi__polling_unit_5__constituency_vote_page_1.md
ครูไทยเพื่อประชาชน,district_ban_thi__01_subdistrict_ban_thi__polling_unit_11__party_list_vote_page_2.md
คลองไทย,district_ban_thi__01_subdistrict_ban_thi__polling_unit_11__party_list_vote_page_2.md
คอมมูนิสต์,district_ban_thi__01_subdistrict_ban_thi__polling_unit_11__party_list_vote_page_2.md
คะแนน,advance_outside_district_and_overseas__constituency_vote_07_page_1.md
คันย์,district_mae_tha__02_subdistrict_municipality_tha_sop_chai__polling_unit_8__party_list_vote_page_2.md
คับขยี้,district_mae_tha__02_subdistrict_municipality_tha_sop_chai__polling_unit_8__party_list_vote_page_2.md
คาเทน,district_mueang_lamphun__03_subdistrict_makhuea_chae__polling_unit_15__party_list_vote_page_3.md
คิปท์,district_ban_thi__01_subdistrict_ban_thi__polling_unit_19__party_list_vote_page_3.md
คืนถนน,district_mae_tha__10_subdistrict_tha_khum_ngoen__polling_unit_12__party_list_vote_page_1.md
คืนผ,district_mae_tha__02_subdistrict_municipality_tha_sop_chai__polling_unit_8__party_list_vote_page_2.md
คุณ,district_mueang_lamphun__09_subdistrict_si_bua_ban__polling_unit_4__party_list_vote_page_3.md
คุณส,district_ban_thi__01_subdistrict_ban_thi__polling_unit_15__party_list_vote_page_2.md
คูนย์,district_mae_tha__02_subdistrict_municipality_tha_sop_chai__polling_unit_8__party_list_vote_page_2.md
คู่มือ,district_mae_tha__06_subdistrict_tha_kat__polling_unit_9__party_list_vote_page_1.md
ค่อนข้างน้อย,district_mueang_lamphun__01_subdistrict_ton_thong__polling_unit_10__party_list_vote_page_3.md
ค่อนข้างมาก,district_mueang_lamphun__01_subdistrict_ton_thong__polling_unit_10__party_list_vote_page_3.md
ค่อนข้างสูง,district_mueang_lamphun__03_subdistrict_makhuea_chae__polling_unit_17__party_list_vote_page_3.md
จันทร์,district_mueang_lamphun__01_subdistrict_ton_thong__polling_unit_4__constituency_vote_page_1.md
จำนวนบัตรเลือกตั้ง,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_7__constituency_vote_page_1.md
จำนวนบัตรเลือกตั้งที่เหลือจำนวนบัตร,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_7__constituency_vote_page_1.md
จำนวนบัตรเลือกตั้งที่ใช้,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_7__constituency_vote_page_1.md
จำนวนบัตรเลือกตั้งที่ได้รับจัดสรรจำนวนบัตร,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_7__constituency_vote_page_1.md
จำนวนผู้มีสิทธิเลือกตั้ง,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_7__constituency_vote_page_1.md
จำนวนผู้มีสิทธิเลือกตั้งตามบัญชีรายชื่อผู้มีสิทธิเลือกตั้งจำนวนคน,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_7__constituency_vote_page_1.md
จำนวนผู้มีสิทธิเลือกตั้งที่มาแสดงตนเฉพาะวันเลือกตั้งจำนวนคน,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_7__constituency_vote_page_1.md
ชมพู,district_mueang_lamphun__02_subdistrict_ban_klang__polling_unit_16__party_list_vote_page_3.md
ชมพูรองฝรั่งส้ม,district_mueang_lamphun__02_subdistrict_ban_klang__polling_unit_16__party_list_vote_page_3.md
ชา,district_mueang_lamphun__16_subdistrict_mueang_nga__polling_unit_17__party_list_vote_page_2.md
ซ,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_9__party_list_vote_page_1.md
ซอย,district_mueang_lamphun__05_subdistrict_wiang_yong__polling_unit_4__constituency_vote_page_1.md
ซี,district_mueang_lamphun__01_subdistrict_ton_thong__polling_unit_3__party_list_vote_page_2.md
ซีลิงเปา,district_mueang_lamphun__04_subdistrict_rim_ping__polling_unit_6__party_list_vote_page_3.md
ซีลิปแบด,district_mueang_lamphun__15_office_ban_paen__polling_unit_5__party_list_vote_page_3.md
ซีลิเว็ค,district_ban_thi__02_subdistrict_huai_yap__polling_unit_14__party_list_vote_page_3.md
ซีสิน,district_mae_tha__02_subdistrict_municipality_tha_sop_chai__polling_unit_2__party_list_vote_page_3.md
ซีสินเจ็ก,district_mae_tha__02_subdistrict_municipality_tha_sop_chai__polling_unit_2__party_list_vote_page_3.md
ซี่,district_mueang_lamphun__03_subdistrict_makhuea_chae__polling_unit_10__constituency_vote_page_1.md
ซี่สินน้ำ,district_mae_tha__06_subdistrict_tha_kat__polling_unit_5__party_list_vote_page_2.md
ซึ่งมี,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_5__party_list_vote_page_2.md
ซึ่งเกิน,district_mueang_lamphun__04_subdistrict_rim_ping__polling_unit_7__party_list_vote_page_3.md
ดอนแนน,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_7__party_list_vote_page_1.md
ดาวน์,district_mueang_lamphun__13_municipality_mueang_lamphun__polling_unit_13__party_list_vote_page_2.md
ดำรง,district_mae_tha__06_subdistrict_tha_kat__polling_unit_11__party_list_vote_page_3.md
ดิบ,district_ban_thi__01_subdistrict_ban_thi__polling_unit_10__constituency_vote_page_1.md
ดี,district_mueang_lamphun__05_subdistrict_wiang_yong__polling_unit_2__party_list_vote_page_1.md
ดูนุช,district_mueang_lamphun__12_subdistrict_umong__polling_unit_15__party_list_vote_page_3.md
ด้วย,district_mae_tha__04_subdistrict_tha_pla_duk__polling_unit_6__party_list_vote_page_1.md
ด้าน,district_mae_tha__09_11_phae_rim_nam__polling_unit_6__party_list_vote_page_2.md
ตม,district_mueang_lamphun__16_subdistrict_mueang_nga__polling_unit_2__party_list_vote_page_1.md
ตะแนน,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_18__constituency_vote_page_1.md
ตามที่ได้มีพระราชกฤษฎีกาให้มีการเลือกตั้งสมาชิกสภาผู้แทนราษฎรและคณะกรรมการการเลือกตั้งได้กำหนดให้วันที่เดือนกุมภา,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_7__constituency_vote_page_1.md
ติ่ม,district_mueang_lamphun__09_subdistrict_si_bua_ban__polling_unit_10__constituency_vote_page_1.md
ถาม,district_ban_thi__01_subdistrict_ban_thi__polling_unit_4__constituency_vote_page_1.md
ท,district_mueang_lamphun__02_subdistrict_ban_klang__polling_unit_7__party_list_vote_page_2.md
ทก,district_mueang_lamphun__12_subdistrict_umong__polling_unit_5__party_list_vote_page_2.md
ทท,district_ban_thi__01_subdistrict_ban_thi__polling_unit_15__party_list_vote_page_2.md
ทน,district_mae_tha__06_subdistrict_tha_kat__polling_unit_10__party_list_vote_page_3.md
ทบ,district_ban_thi__01_subdistrict_ban_thi__polling_unit_15__party_list_vote_page_3.md
ทรัพย์,district_mueang_lamphun__15_office_ban_paen__polling_unit_7__party_list_vote_page_3.md
ทว,district_ban_thi__01_subdistrict_ban_thi__polling_unit_15__party_list_vote_page_3.md
ทอง,district_mueang_lamphun__12_subdistrict_umong__polling_unit_2__constituency_vote_page_1.md
ทำ,district_mueang_lamphun__15_office_ban_paen__polling_unit_2__party_list_vote_page_3.md
ทำสินเชิด,district_mueang_lamphun__15_office_ban_paen__polling_unit_2__party_list_vote_page_3.md
ท่า,district_ban_thi__01_subdistrict_ban_thi__polling_unit_4__constituency_vote_page_1.md
ท้องถิ่นแปลงเผา,district_mueang_lamphun__12_subdistrict_umong__polling_unit_2__constituency_vote_page_1.md
ท้า,district_mae_tha__05_subdistrict_tha_thung_luang__polling_unit_4__party_list_vote_page_2.md
ธิมราม,district_mueang_lamphun__09_subdistrict_si_bua_ban__polling_unit_10__constituency_vote_page_1.md
ธ์,district_mueang_lamphun__07_subdistrict_mueang_chi__polling_unit_10__constituency_vote_page_1.md
ธ์พศเป็นวันเลือกตั้งนั้น,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_7__constituency_vote_page_1.md
น,district_ban_thi__01_subdistrict_ban_thi__polling_unit_7__party_list_vote_page_2.md
นก,district_mae_tha__02_subdistrict_municipality_tha_sop_chai__polling_unit_5__party_list_vote_page_2.md
นกลิขิต,district_mueang_lamphun__01_subdistrict_ton_thong__polling_unit_2__party_list_vote_page_3.md
นขย,district_mueang_lamphun__05_subdistrict_wiang_yong__polling_unit_8__party_list_vote_page_2.md
นขลขา,district_mueang_lamphun__05_subdistrict_wiang_yong__polling_unit_8__party_list_vote_page_2.md
นข้า,district_mueang_lamphun__05_subdistrict_wiang_yong__polling_unit_8__party_list_vote_page_2.md
นค,district_mueang_lamphun__02_subdistrict_ban_klang__polling_unit_7__party_list_vote_page_2.md
นทร,district_ban_thi__01_subdistrict_ban_thi__polling_unit_15__party_list_vote_page_2.md
นทรี,district_mae_tha__06_subdistrict_tha_kat__polling_unit_10__party_list_vote_page_2.md
นน,district_ban_thi__01_subdistrict_ban_thi__polling_unit_15__party_list_vote_page_3.md
นนง,district_mae_tha__04_subdistrict_tha_pla_duk__polling_unit_16__party_list_vote_page_2.md
นนส,district_ban_thi__01_subdistrict_ban_thi__polling_unit_15__party_list_vote_page_2.md
นป,district_ban_thi__02_subdistrict_huai_yap__polling_unit_9__party_list_vote_page_1.md
นปช,district_mueang_lamphun__03_subdistrict_makhuea_chae__polling_unit_7__party_list_vote_page_3.md
นปีวะ,district_mueang_lamphun__05_subdistrict_wiang_yong__polling_unit_8__party_list_vote_page_3.md
นพ,district_mueang_lamphun__03_subdistrict_makhuea_chae__polling_unit_7__party_list_vote_page_3.md
นพิว,district_ban_thi__01_subdistrict_ban_thi__polling_unit_15__party_list_vote_page_2.md
นย,district_mueang_lamphun__16_subdistrict_mueang_nga__polling_unit_19__party_list_vote_page_2.md
นร,district_mueang_lamphun__09_subdistrict_si_bua_ban__polling_unit_3__party_list_vote_page_3.md
นรสิงห์,district_mueang_lamphun__15_office_ban_paen__polling_unit_7__party_list_vote_page_3.md
นส,district_ban_thi__01_subdistrict_ban_thi__polling_unit_12__party_list_vote_page_2.md
นสข,district_mueang_lamphun__05_subdistrict_wiang_yong__polling_unit_8__party_list_vote_page_2.md
นสธ,district_ban_thi__02_subdistrict_huai_yap__polling_unit_3__party_list_vote_page_2.md
นอก,district_mueang_lamphun__08_subdistrict_nong_chang_khuen__polling_unit_2__party_list_vote_page_1.md
นัก,district_mae_tha__06_subdistrict_tha_kat__polling_unit_5__party_list_vote_page_2.md
นักลงทุน,district_mueang_lamphun__12_subdistrict_umong__polling_unit_2__constituency_vote_page_1.md
นายทวิสิทธิ์,district_mueang_lamphun__07_subdistrict_mueang_chi__polling_unit_10__constituency_vote_page_1.md
นายนาย,district_mueang_lamphun__15_office_ban_paen__polling_unit_7__party_list_vote_page_3.md
นำสมเด็จ,district_mueang_lamphun__16_subdistrict_mueang_nga__polling_unit_4__party_list_vote_page_3.md
นำโรง,advance_outside_district_and_overseas__party_list_vote_02_page_3.md
นิคม,district_mueang_lamphun__16_subdistrict_mueang_nga__polling_unit_6__party_list_vote_page_3.md
นิว,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_14__party_list_vote_page_2.md
นเรศ,district_mueang_lamphun__15_office_ban_paen__polling_unit_7__party_list_vote_page_3.md
น้ำ,district_mae_tha__01_subdistrict_tha_sop_sao__polling_unit_1__party_list_vote_page_2.md
น้ำสับ,district_mueang_lamphun__01_subdistrict_ton_thong__polling_unit_1__party_list_vote_page_3.md
น้ำสายเด็ด,district_ban_thi__01_subdistrict_ban_thi__polling_unit_15__party_list_vote_page_3.md
บ,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_9__party_list_vote_page_1.md
บัดนี้คณะกรรมการประจำหน่วยเลือกตั้งได้ดำเนินการนับคะแนนสมาชิกสภาผู้แทนราษฎรแบบแบ่งเขตเลือกตั้งของหน่วยเลือกตั้งที่หมู่ที่ตำบลแขวงเทศบาลป่าสักอำเภอเขตเมืองลำพูนเขตเลือกตั้งที่จังหวัดลำพูนเสร็จสิ้นเป็นที่เรียบ,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_7__constituency_vote_page_1.md
บัตร,district_ban_thi__02_subdistrict_huai_yap__polling_unit_10__party_list_vote_page_1.md
บัตรดีจำนวนบัตร,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_7__constituency_vote_page_1.md
บัตรเสียจำนวนบัตร,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_7__constituency_vote_page_1.md
บาท,district_mae_tha__05_subdistrict_tha_thung_luang__polling_unit_3__party_list_vote_page_2.md
บาทถ้วน,district_ban_thi__01_subdistrict_ban_thi__polling_unit_16__party_list_vote_page_3.md
บุคคล,district_mueang_lamphun__15_office_ban_paen__polling_unit_7__party_list_vote_page_3.md
บุ๊ค,district_mae_tha__04_subdistrict_tha_pla_duk__polling_unit_2__constituency_vote_page_1.md
ป,district_mae_tha__05_subdistrict_tha_thung_luang__polling_unit_7__party_list_vote_page_3.md
ปท,district_ban_thi__01_subdistrict_ban_thi__polling_unit_15__party_list_vote_page_2.md
ปนส,district_ban_thi__01_subdistrict_ban_thi__polling_unit_15__party_list_vote_page_2.md
ประชากรไทย,district_ban_thi__01_subdistrict_ban_thi__polling_unit_11__party_list_vote_page_2.md
ประชาชาติ,district_ban_thi__01_subdistrict_ban_thi__polling_unit_11__party_list_vote_page_2.md
ปวงชนไทย,district_ban_thi__01_subdistrict_ban_thi__polling_unit_11__party_list_vote_page_2.md
ปัด,district_ban_thi__01_subdistrict_ban_thi__polling_unit_5__party_list_vote_page_2.md
ปัตร,district_ban_thi__02_subdistrict_huai_yap__polling_unit_10__party_list_vote_page_3.md
ปาดดาเทพ,district_mueang_lamphun__13_municipality_mueang_lamphun__polling_unit_13__party_list_vote_page_2.md
ปานกลาง,district_mae_tha__03_subdistrict_municipality_tha_sop_sao__polling_unit_1__party_list_vote_page_2.md
ปีงบ,district_mueang_lamphun__16_subdistrict_mueang_nga__polling_unit_6__party_list_vote_page_3.md
ปุริส,district_mueang_lamphun__09_subdistrict_si_bua_ban__polling_unit_5__party_list_vote_page_3.md
ป่า,district_mueang_lamphun__02_subdistrict_ban_klang__polling_unit_16__party_list_vote_page_3.md
ป่าสงวน,district_mae_tha__10_subdistrict_tha_khum_ngoen__polling_unit_4__party_list_vote_page_3.md
ผนข,district_mae_tha__02_subdistrict_municipality_tha_sop_chai__polling_unit_2__party_list_vote_page_3.md
ผนจ,district_mae_tha__02_subdistrict_municipality_tha_sop_chai__polling_unit_2__party_list_vote_page_3.md
ผนธ,district_mae_tha__04_subdistrict_tha_pla_duk__polling_unit_10__party_list_vote_page_3.md
ผนบ,district_mae_tha__02_subdistrict_municipality_tha_sop_chai__polling_unit_2__party_list_vote_page_3.md
ผนป,district_mae_tha__02_subdistrict_municipality_tha_sop_chai__polling_unit_2__party_list_vote_page_3.md
ผนย,district_mae_tha__02_subdistrict_municipality_tha_sop_chai__polling_unit_2__party_list_vote_page_3.md
ผนย์,district_mae_tha__10_subdistrict_tha_khum_ngoen__polling_unit_4__party_list_vote_page_3.md
ผู้,district_mueang_lamphun__04_subdistrict_rim_ping__polling_unit_11__party_list_vote_page_2.md
ผู้ขอ,district_mae_tha__03_subdistrict_municipality_tha_sop_sao__polling_unit_8__party_list_vote_page_3.md
ผู้นัดจำแนน,district_ban_thi__02_subdistrict_huai_yap__polling_unit_2__party_list_vote_page_3.md
ผู้นำ,district_ban_thi__01_subdistrict_ban_thi__polling_unit_1__party_list_vote_page_3.md
ผู้พิท,district_mae_tha__03_subdistrict_municipality_tha_sop_sao__polling_unit_8__party_list_vote_page_2.md
ผ่อง,district_mae_tha__02_subdistrict_municipality_tha_sop_chai__polling_unit_4__party_list_vote_page_2.md
ฝนผ,district_mueang_lamphun__07_subdistrict_mueang_chi__polling_unit_15__party_list_vote_page_2.md
ฝรั่ง,district_mueang_lamphun__02_subdistrict_ban_klang__polling_unit_16__party_list_vote_page_3.md
ฝัน,district_mueang_lamphun__03_subdistrict_makhuea_chae__polling_unit_1__party_list_vote_page_2.md
ฝั่ง,district_mueang_lamphun__08_subdistrict_nong_chang_khuen__polling_unit_2__party_list_vote_page_1.md
ฝาง,district_ban_thi__01_subdistrict_ban_thi__polling_unit_15__party_list_vote_page_3.md
ฝี,district_mueang_lamphun__12_subdistrict_umong__polling_unit_6__party_list_vote_page_1.md
ฝีมือ,district_mueang_lamphun__04_subdistrict_rim_ping__polling_unit_5__party_list_vote_page_3.md
ฝุ่นย์,district_mueang_lamphun__15_office_ban_paen__polling_unit_7__party_list_vote_page_2.md
ฝูง,district_ban_thi__01_subdistrict_ban_thi__polling_unit_14__party_list_vote_page_3.md
ฝ่าย,district_mueang_lamphun__08_subdistrict_nong_chang_khuen__polling_unit_2__party_list_vote_page_1.md
ฝ่ายใหญ่,district_mueang_lamphun__08_subdistrict_nong_chang_khuen__polling_unit_2__party_list_vote_page_1.md
พ,district_mae_tha__05_subdistrict_tha_thung_luang__polling_unit_7__party_list_vote_page_3.md
พริม,district_mueang_lamphun__16_subdistrict_mueang_nga__polling_unit_1__party_list_vote_page_2.md
พร้อมกัน,district_mueang_lamphun__15_office_ban_paen__polling_unit_10__party_list_vote_page_2.md
พล,district_ban_thi__01_subdistrict_ban_thi__polling_unit_15__party_list_vote_page_2.md
พลสสุขสส,district_mae_tha__06_subdistrict_tha_kat__polling_unit_9__party_list_vote_page_3.md
พลัง,district_ban_thi__01_subdistrict_ban_thi__polling_unit_11__party_list_vote_page_3.md
พว,district_mueang_lamphun__13_municipality_mueang_lamphun__polling_unit_9__party_list_vote_page_3.md
พามินท์,district_mueang_lamphun__09_subdistrict_si_bua_ban__polling_unit_3__party_list_vote_page_3.md
พิษ,district_mae_tha__06_subdistrict_tha_kat__polling_unit_10__party_list_vote_page_2.md
พุทธ,district_ban_thi__01_subdistrict_ban_thi__polling_unit_15__party_list_vote_page_3.md
พูล,district_ban_thi__01_subdistrict_ban_thi__polling_unit_15__party_list_vote_page_3.md
พูลศรี,district_mueang_lamphun__15_office_ban_paen__polling_unit_7__party_list_vote_page_3.md
ฟ,district_mae_tha__04_subdistrict_tha_pla_duk__polling_unit_16__party_list_vote_page_1.md
ฟก,district_mae_tha__04_subdistrict_tha_pla_duk__polling_unit_16__party_list_vote_page_2.md
ฟง,district_mueang_lamphun__13_municipality_mueang_lamphun__polling_unit_9__party_list_vote_page_3.md
ฟท,district_ban_thi__01_subdistrict_ban_thi__polling_unit_15__party_list_vote_page_2.md
ฟาง,district_ban_thi__01_subdistrict_ban_thi__polling_unit_15__party_list_vote_page_3.md
ฟื้นซึ่ง,district_mueang_lamphun__05_subdistrict_wiang_yong__polling_unit_2__party_list_vote_page_1.md
ฟูฟ,district_mueang_lamphun__02_subdistrict_ban_klang__polling_unit_16__party_list_vote_page_2.md
ฟ้า,district_mae_tha__10_subdistrict_tha_khum_ngoen__polling_unit_4__party_list_vote_page_2.md
ภท,district_ban_thi__01_subdistrict_ban_thi__polling_unit_15__party_list_vote_page_2.md
ภม,district_mueang_lamphun__10_subdistrict_pratu_pa__polling_unit_1__party_list_vote_page_1.md
ภารวิสาราษฎร์,district_mueang_lamphun__13_municipality_mueang_lamphun__polling_unit_13__party_list_vote_page_2.md
ภูธร,district_ban_thi__02_subdistrict_huai_yap__polling_unit_3__party_list_vote_page_2.md
ภูนง,district_mae_tha__06_subdistrict_tha_kat__polling_unit_2__party_list_vote_page_2.md
ภูมิ,district_mueang_lamphun__08_subdistrict_nong_chang_khuen__polling_unit_3__party_list_vote_page_2.md
ม,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_9__party_list_vote_page_1.md
มนย,district_mae_tha__04_subdistrict_tha_pla_duk__polling_unit_3__party_list_vote_page_3.md
มหาชน,district_mueang_lamphun__12_subdistrict_umong__polling_unit_2__constituency_vote_page_1.md
มาก,district_mae_tha__04_subdistrict_tha_pla_duk__polling_unit_1__party_list_vote_page_2.md
มากกว่ากึ่ง,district_mueang_lamphun__03_subdistrict_makhuea_chae__polling_unit_17__party_list_vote_page_3.md
มากยิ่งสืบ,district_mae_tha__05_subdistrict_tha_thung_luang__polling_unit_7__party_list_vote_page_3.md
มิ,district_mueang_lamphun__13_municipality_mueang_lamphun__polling_unit_12__party_list_vote_page_2.md
มี,district_mae_tha__07_subdistrict_municipality_tha_kat__polling_unit_4__party_list_vote_page_2.md
มีสม,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_1__party_list_vote_page_2.md
มีสมทก,district_mueang_lamphun__06_subdistrict_nong_nam__polling_unit_5__party_list_vote_page_3.md
มุข,district_ban_thi__01_subdistrict_ban_thi__polling_unit_15__party_list_vote_page_3.md
ยกคะแนน,district_mueang_lamphun__15_office_ban_paen__polling_unit_6__party_list_vote_page_2.md
ยศ,district_mueang_lamphun__01_subdistrict_ton_thong__polling_unit_1__party_list_vote_page_2.md
ยสม,district_mueang_lamphun__07_subdistrict_mueang_chi__polling_unit_10__party_list_vote_page_2.md
ยสส,district_ban_thi__02_subdistrict_huai_yap__polling_unit_1__party_list_vote_page_3.md
ยำ,district_mueang_lamphun__08_subdistrict_nong_chang_khuen__polling_unit_1__party_list_vote_page_2.md
ยิ่งเล็กแทน,district_mueang_lamphun__15_office_ban_paen__polling_unit_10__party_list_vote_page_2.md
